052538768,052540050,4
052538768,062382829,4
052538768,061867367,4
052538768,052834779,4
052538768,053073075,4
062345589,062322888,1
062345589,052540050,6
062345589,062313562,5
062345589,062270344,6
062345589,062382829,4
062345589,062081822,4
062345589,053587282,7
062345589,052599012,6
062345589,062375853,2
062345589,053326119,6
062345589,061798877,5
062345589,062316618,6
062345589,062297376,4
052863103,062539603,4
052863103,062338617,4
052863103,053359809,4
052863103,062535361,4
052863103,062630555,4
052837341,062366594,5
052837341,062104553,5
052837341,062597547,5
052837341,053564594,5
052837341,062796596,5
052837341,062106014,5
062310801,053778512,5
062310801,062298542,4
062310801,062092026,2
062310801,056012337,4
062310801,062363842,8
062310801,062125273,4
062310801,053364366,4
062310801,062290852,6
062310801,062838285,4
062310801,062774603,5
062310801,062092876,4
053325787,052540050,8
053325787,053076892,8
053325787,062310343,3
053325787,062803331,4
053325787,052604777,9
053325787,061888378,6
053325787,053527126,6
053325787,062080884,6
053325787,062382829,2
053325787,053088816,6
053325787,052783050,6
053325787,062593086,4
053325787,062316618,2
053325787,062056609,6
052834779,052538768,4
052834779,052540050,6
052834779,061867367,4
052834779,053076892,5
052834779,062382829,4
052834779,062045610,4
052834779,052869076,5
052834779,053073075,4
052834779,053114074,4
052834779,062869120,4
052869076,052834779,5
052869076,052540050,8
052869076,053076892,5
052869076,062321032,5
052869076,052604777,5
052869076,062045610,4
052869076,053815066,11
052869076,053584872,8
052869076,053340547,6
052869076,053269514,7
052869076,053616032,7
052869076,053114074,7
052869076,062869120,9
052869076,062376350,4
052869076,062064791,5
062092370,062111620,3
062092370,052571876,3
062092370,062104553,3
062092370,061799097,3
053015336,052596049,4
053015336,062310358,1
053015336,062780046,2
053015336,062589538,4
053015336,062278058,6
053015336,062283316,5
053015336,053527069,4
053015336,052571876,1
053015336,062343105,5
062517053,061841285,7
062517053,062295603,6
062517053,062351022,5
062517053,062783627,8
062517053,052802530,5
062517053,053515022,5
062517053,053269323,4
062517053,062324852,3
062517053,053119593,5
062316618,062345589,6
062316618,053325787,2
062316618,052540050,10
062316618,061866534,2
062316618,062382829,6
062316618,061867367,4
062316618,053587282,5
062316618,062270344,5
062316618,061770862,6
062316618,061798877,4
062316618,062635819,4
062316618,062297376,4
062594861,062783627,4
062594861,062576889,4
062594861,062295603,4
062594861,053119593,4
062594861,053097608,4
053778512,062310801,5
053778512,052783050,3
053778512,062363842,6
053778512,062125273,8
053778512,062290852,8
053778512,052599012,8
053778512,062838285,7
053778512,062774603,9
053778512,062328562,9
053778512,061798877,4
053778512,062348595,7
052625528,061829027,2
052625528,062770310,2
052625528,061799097,2
052625528,052627308,2
052625528,062111620,4
052850600,053616032,9
052850600,062364107,13
052850600,055546381,12
052850600,053045623,3
052850600,052527029,6
052850600,053318382,3
052850600,053536799,10
052850600,062372002,14
052850600,062309281,6
052850600,062373048,15
052850600,053615608,12
052850600,052862787,9
052850600,062085819,6
052850600,062064791,11
052850600,053571570,7
052850600,053525573,3
052850600,062070581,6
052850600,053264331,6
052850600,056006892,7
062344786,052596049,4
062344786,062327512,3
062344786,062780046,2
062344786,062589538,3
062344786,062283316,5
062344786,053527069,3
062344786,062343105,5
062344786,053516324,1
061879004,062536339,6
061879004,052788821,6
061879004,062068265,6
061879004,062374844,6
061879004,062310317,6
061879004,052612307,6
061879004,062308519,6
053815066,052869076,11
053815066,052540050,6
053815066,062321032,5
053815066,053616032,8
053815066,061866534,4
053815066,052604777,5
053815066,053584872,9
053815066,053340547,6
053815066,053269514,8
053815066,053114074,4
053815066,062869120,6
053815066,062376350,5
053815066,062064791,5
053564594,052837341,5
053564594,062322866,4
053564594,062366594,5
053564594,062104553,5
053564594,062056122,4
